OBJECTID,NAME,LONG(split),LAT(split),LONG,LAT,LINE,NOTES
1,Astor Pl,(-73.99106999861966,40.73005400028978),-73.99107,40.730054,"4,6,,","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
2,Canal St,(-74.00019299927328,40.71880300107709),-74.000193,40.718803,"4,6,,","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
3,50th St,(-73.98384899986625,40.76172799961419),-73.983849,40.761728,"1,2,,","1-all times, 2-nights"
4,Bergen St,(-73.97499915116808,40.68086213682956),-73.97499915,40.68086214,"2,3,4,","4-nights, 3-all other times, 2-all times"
5,Pennsylvania Ave,(-73.89488591154061,40.66471445143568),-73.89488591,40.66471445,"3,4,,","4-nights, 3-all other times"
6,238th St,(-73.90087000018522,40.88466700064975),-73.90087,40.884667,"1,,,","1-all times, exit only northbound"
7,Cathedral Pkwy (110th St),(-73.95806670661364,40.800581558114956),-73.95806671,40.80058156,"A,B,C,","A-nights, B-weekdays and evenings, C-all times exc nights"
8,Kingston - Throop Aves,(-73.94085899871263,40.67991899941601),-73.940859,40.679919,"A,C,,","A-nights, C-all other times"
9,65th St,(-73.8987883783301,40.74971952935675),-73.89878838,40.74971953,"E,M,R,","E-nights, R-all other times, M-weekdays and evenings"
10,36th St,(-73.92901818461539,40.75196004401078),-73.92901818,40.75196004,"E,M,R,","E-nights, R-all other times, M-weekdays and evenings"
11,Delancey St - Essex St,(-73.98740940202974,40.71830605618619),-73.9874094,40.71830606,"J,M,Z,","J-all times, M-all times exc nights, Z-rush hours AM westbound, PM eastbound"
12,Van Siclen Ave,(-73.89165772702445,40.67802821447783),-73.89165773,40.67802821,"J,Z,,","Z-rush hours AM westbound, PM eastbound, J-all other times"
13,Norwood Ave,(-73.87962599910783,40.68152000045683),-73.879626,40.68152,"J,Z,,","Z-rush hours AM westbound, PM eastbound, J-all other times"
14,104th-102nd Sts,(-73.84443500029684,40.69516599823373),-73.844435,40.695166,"J,Z,,","Z-rush hours AM westbound, PM eastbound, J-all other times"
15,DeKalb Ave,(-73.98177094440949,40.690648119969794),-73.98177094,40.69064812,"B,D,N,Q","B-weekdays and evenings, D-all other times, N-nights, R-all other times, Q-all times"
16,Beach 105th St,(-73.82758075034528,40.58326843810286),-73.82758075,40.58326844,"A,S,,","A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
17,Beach 90th St,(-73.81365140419632,40.58809156457325),-73.8136514,40.58809156,"A,S,,","A-rush hours AM northbound, PM southbound, S Broad Channel to Rockaway Park-all times"
18,Freeman St,(-73.89175225349464,40.829987446384116),-73.89175225,40.82998745,"2,5,,","2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
19,Intervale Ave,(-73.89661738461646,40.822142131170786),-73.89661738,40.82214213,"2,5,,","2-all times, 5-all times exc nights, skips rush hours AM southbound, PM northbound"
20,182nd-183rd Sts,(-73.90074099998965,40.85609299881864),-73.900741,40.856093,"B,D,,","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
21,174th-175th Sts,(-73.91013600050078,40.84589999983414),-73.910136,40.8459,"B,D,,","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
22,167th St,(-73.91843200082253,40.83376899862797),-73.918432,40.833769,"B,D,,","B-rush hours, D-all times, skips rush hours AM southbound, PM northbound"
23,Mets - Willets Point,(-73.8456249984179,40.75462199881262),-73.845625,40.754622,"7,,,","7-all times, 7 Express-rush hours AM westbound, PM eastbound"
24,Junction Blvd,(-73.86952700103515,40.74914499948836),-73.869527,40.749145,"7,,,","7-all times, 7 Express-rush hours AM westbound, PM eastbound"
25,Flushing - Main St,(-73.83003000262508,40.75959999915012),-73.83003,40.7596,"7,,,","7-all times, 7 Express-rush hours AM westbound, PM eastbound"
26,Buhre Ave,(-73.83256900003744,40.846809998885504),-73.832569,40.84681,"6,,,","6 Express-weekdays AM southbound, PM northbound, 6-all other times"
27,3rd Ave - 138th St,(-73.92613800014134,40.81047600117261),-73.926138,40.810476,"6,,,","6-all times, 6 Express-weekdays AM southbound, PM northbound"
28,Castle Hill Ave,(-73.85122199961472,40.83425499825462),-73.851222,40.834255,"6,,,","6 Express-weekdays AM southbound, PM northbound, 6-all other times"
29,Brooklyn Bridge - City Hall,(-74.0041310005885,40.713064999433136),-74.004131,40.713065,"4,5,6,","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
30,Zerega Ave,(-73.8470359987544,40.836488000608156),-73.847036,40.836488,"6,,,","6 Express-weekdays AM southbound, PM northbound, 6-all other times"
31,Grand Central - 42nd St,(-73.9767132992584,40.75180742981634),-73.9767133,40.75180743,"4,5,6,","4,6-all times, 5-all times exc nights, 6 Express-weekdays AM southbound, PM northbound"
32,33rd St,(-73.98207600148947,40.74608099909145),-73.982076,40.746081,"4,6,,","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
33,96th St,(-73.9510700015425,40.78567199998607),-147.837353,40.785672,"4,6,,","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
34,77th St,(-73.95987399886047,40.77362000074615),-73.959874,40.77362,"4,6,,","4 nights, 6-all times, 6 Express-weekdays AM southbound, PM northbound"
35,Chauncey St,(-73.91038357033376,40.68285130087804),-73.91038357,40.6828513,"J,Z,,","Z-rush hours AM westbound, PM eastbound, J-all other times"
36,Union St,(-73.98310999909673,40.67731566735096),-73.98311,40.67731567,"D,N,R,","D,N-nights, R-all other times"
37,Elmhurst Ave,(-73.8820347465864,40.74237007972169),-73.88203475,40.74237008,"E,M,R,","E-nights, R-all other times, M-weekdays and evenings"
